dyPerOne,dy,poolb0,poolb1
973348041840809632,973519415187857121391,178875732537579494582099,465301786005592464122523
973001597426317253,973175370226347414472,177902362454393918206560,466301786005592464122523
972650276119203639,972826497675015278123,176929341313562105206293,467301786005592464122523
972293977470473490,972472698242686976813,175956674042950822253695,468301786005592464122523
971932598664136221,972113870303226392161,174984365672073305500111,469301786005592464122523
971566034451582902,971749909830880295005,174012421334489357802086,470301786005592464122523
971194177083976313,971380710333667887390,173040846270272069733046,471301786005592464122523
970816916242590309,971006162784751751136,172069645828543183377719,472301786005592464122523
970434138967032593,970626155551725344624,171098825470079182777925,473301786005592464122522
970045729581282941,970240574323750141018,170128390769990261818552,474301786005592464122522
969651569617476837,969849302036473399106,169158347420474389365145,475301786005592464122522
969251537737362202,969452218794655402115,168188701233648762643422,476301786005592464122522
968845509651354781,969049201792432790329,167219458144461013239890,477301786005592464122522
968433358035115340,968640125231142350374,166250624213682605754993,478301786005592464122522
968014952443569591,968224860234627307864,165282205630986947109133,479301786005592464122522
967590159222289296,967803274761945801753,164314208718114804839633,480301786005592464122522
967158841416150587,967375233517398798613,163346639932129715485038,481301786005592464122522
966720858675183036,966940597857792234903,162379505868766149382141,482301786005592464122522
966276067157520470,966499225696845656068,161412813265873285949832,483301786005592464122522
965824319429361935,966050971406657055333,160446569006957343849070,484301786005592464122522
965365464361848566,965595685716131004274,159480780124825503334792,485301786005592464122522
964899347024759498,965133215606274514337,158515453805334553695503,486301786005592464122522
964425808576927159,964663404202262376896,157550597391247496948384,487301786005592464122522
963944686153269624,964186090662171002310,156586218386201439957479,488301786005592464122522
963455812748334895,963701110062277020552,155622324458790210900709,489301786005592464122522
962959017096249178,963208293278814121869,154658923446765242554326,490301786005592464122521
962454123546958426,962707466866078811184,153696023361358374211568,491301786005592464122521
961940951938649596,962198452930772931209,152733632391730336219749,492301786005592464122521
961419317466235228,961681069002467983179,151771758909548796114125,493301786005592464122521
960889030545782134,961155127900073449431,150810411473699963146197,494301786005592464122521
960349896674762191,960620437594188507299,149849598835137868638797,495301786005592464122521
959801716288000458,960076801065213729726,148889329941875563029574,496301786005592464122521
959244284609193042,959524016157096605597,147929613944122596656749,497301786005592464122521
958677391497864531,958961875426581995247,146970460199573280251339,498301786005592464122521
958100821291632129,958390165987835977763,146011878278850352669739,499301786005592464122521
957514352643641078,957808669352308962754,145053877971108817554732,500301786005592464122521
956917758355033572,957217161263701447366,144096469289804847259538,501301786005592464122521
956310805202310997,956615411527893419274,143139662478634791396603,502301786005592464122521
955693253759447176,956003183837696159343,142183468017649468647393,503301786005592464122521
955064858214608300,955380235592283107556,141227896629549063834534,504301786005592464122521
954425366181333418,954746317711154548674,140272959286164097530249,505301786005592464122521
953774518504027766,954101174442489178774,139318667215128082443276,506301786005592464122521
953112049057619921,953444543165734161912,138365031906747629246918,507301786005592464122521
952437684541232724,952776154188284112487,137412065121075914105197,508301786005592464122520
951751144265717235,952095730536098581651,136459778895195570605863,509301786005592464122520
951052139934898685,951402987738107126937,135508185550717219760014,510301786005592464122520
950340375420383505,950697633604250949283,134557297701500002774127,511301786005592464122520
949615546529777128,949979367997010440544,133607128261600631987357,512301786005592464122520
948877340768163380,949247882596268852495,132657690453457625185912,513301786005592464122520
948125437092698042,948502860657363734697,131708997816317536888644,514301786005592464122520
947359505660171563,947743976762179858876,130761064214910146509589,515301786005592464122520
946579207567399067,946970896563140122601,129813903848379706839145,516301786005592464122520
945784194584299748,946183276519954482310,128867531259479496263502,517301786005592464122520
944974108879532672,945380763628991389593,127921961344037053695160,518301786005592464122520
944148582738561867,944562995145141586281,126977209360697605357862,519301786005592464122520
943307238274030602,943729598296050552933,126033290940953316299417,520301786005592464122520
942449687128332969,942880189988603509394,125090222099466115630458,521301786005592464122520
941575530168280484,942014376507555752375,124148019244691951723671,522301786005592464122520
940684357171772391,941131753206211409814,123206699189814430547669,523301786005592464122520
939775746506391137,940231904189065532406,122266279163995875406313,524301786005592464122520
938849264799858782,939314401986337977222,121326776823953917913690,525301786005592464122520
937904466602306598,938378807220342926702,120388210265871786202890,526301786005592464122519
936940894040328527,937424668263655301472,119450598037650495116044,527301786005592464122519
935958076462810006,936451520889054953304,118513959151511162240581,528301786005592464122519
934955530078546966,935458887911251565750,117578313096955670728540,529301786005592464122519
933932757585695891,934446278820417860215,116643679854093872232499,530301786005592464122519
932889247793124854,933413189407586236161,115710079907345468151954,531301786005592464122519
931824475233767737,932359101381994614462,114777534259524621597794,532301786005592464122519
930737899770119634,931283481980501269270,113846064446315232673209,533301786005592464122519
929628966192051063,930185783569226111403,112915692551144652174829,534301786005592464122519
928497103807162326,929065443237617530294,111986441220463409671040,535301786005592464122519
927341726023947566,927921882385189837379,111058333679438286822490,536301786005592464122519
926162229928091103,926754506301226928619,110131393748065771132981,537301786005592464122519
924957995852276795,925562703737803366473,109205645857712574048348,538301786005592464122519
923728386939955081,924345846476535064179,108281115068089485055585,539301786005592464122519
922472748703582096,923103288889538553115,107357827084664354357902,540301786005592464122519
921190408577921718,921834367495150866422,106435808276519444557734,541301786005592464122519
919880675469084583,920538400509041842879,105515085694657759849341,542301786005592464122519
918542839300068917,919214687391437631946,104595687090762242297901,543301786005592464122519
917176170553666782,917862508391268876360,103677640936410911142855,544301786005592464122518
915779919813706525,916481124088159998679,102760976442750104453500,545301786005592464122518
914353317305718672,915069774933287781834,101845723580626954069069,546301786005592464122518
912895572438238531,913627680790258592471,100931913101181075176760,547301786005592464122518
911405873346095083,912154040477284750772,100019576556894171121316,548301786005592464122518
909883386437183140,910648031312082321383,99108746323094831480541,549301786005592464122518
908327255944374517,909108808661065621904,98199455619914225829501,550301786005592464122518
906736603484395098,907535505494578664804,97291738534686655052120,551301786005592464122518
905110527625678663,905927231950081219576,96385630044787003988363,552301786005592464122518
903448103467405799,904283074905397860570,95481166040895030417937,553301786005592464122518
901748382232147979,902602097564342903551,94578383350674112015606,554301786005592464122518
900010390874763288,900883339057253169998,93677319762849540467623,555301786005592464122518
898233131710432322,899125814059194670032,92778014051668685294456,556301786005592464122518
896415582064980545,897328512428859148704,91880506001722333376815,557301786005592464122518
894556693950907900,895490398871432536889,90984836433103227484077,558301786005592464122518
892655393772837701,893610412629000169672,90091047226874261528057,559301786005592464122518
890710582066405569,891687467202353588219,89199181350814924675815,560301786005592464122518
888721133274935281,889720450108381137839,88309282885410403405696,561301786005592464122518
886685895568592385,887708222677559611180,87421397050043232438052,562301786005592464122517
884603690711067928,885649619896416917161,86535570229342514517107,563301786005592464122517
882473313979223704,883543450300206070942,85651849999640487676644,564301786005592464122517
880293534141526510,881388495921418388112,84770285155480589612985,565301786005592464122517
878063093501511317,879183512300168084466,83890925736115135380443,566301786005592464122517
875780708012941135,876927228562900718856,83013823051924270895937,567301786005592464122517
873445067473773300,874618347576312946958,82139029710680975893568,568301786005592464122517
871054835806496365,872255546183819397938,81266599643579552690229,569301786005592464122517
868608651432866482,869837475532362258018,80396588130937239979579,570301786005592464122517
866105127751544675,867362761497828000172,79529051827470324778927,571301786005592464122517
863542853727613516,864830005217810777338,78664048787037384387588,572301786005592464122517
860920394603429625,862237783740939862025,77801638486733070988176,573301786005592464122517
858236292740742865,859584650802465092821,76941881850206155622228,574301786005592464122517
855489068604478777,856869137736264798571,76084841270065381767075,575301786005592464122517
852677221899031789,854089754533899560976,75230580629226053254607,576301786005592464122517
849799232868346271,851244991061776052655,74379165321039214821790,577301786005592464122517
846853563771462698,848333318447900746963,73530662268033801489644,578301786005592464122517
843838660545568347,845353190650085259983,72685139939090268833651,579301786005592464122516
840752954668906084,842303046217804137949,71842668364852012954178,580301786005592464122516
837594865236150190,839181310260191635804,71003319151168399911485,581301786005592464122516
834362801259042340,835986396632884894889,70167165490350514439387,582301786005592464122516
831055164205180781,832716710356564194866,69334282170007884505387,583301786005592464122516
827670350787856786,829370650280092707194,68504745579221533276243,584301786005592464122516
824206756019718826,825946612001103301471,67678633711795859926093,585301786005592464122516
820662776542799976,822442991056702169046,66856026166319178424881,586301786005592464122516
817036814247049614,818858186396640933822,66037004142750389303598,587301786005592464122516
813327280188947915,815190604150832096421,65221650435237382170744,588301786005592464122516
809532598821030990,811438661702427788862,64410049420861544532385,589301786005592464122516
805651212542195637,807600792076828869762,63602287043992383363930,590301786005592464122516
801681586577464871,803675448655919845679,62798450795926968536290,591301786005592464122516
797622214194457839,799661110225514248002,61998629689480920972112,592301786005592464122516
793471622262100270,795556286362424371362,61202914228191253218523,593301786005592464122516
789228377155114569,791359523165718720892,60411396369786805862433,594301786005592464122516
784891091005524046,787069409334581240791,59624169483579608659009,595301786005592464122516
780458428299777206,782684582592721193296,58841328301430546385043,596301786005592464122516
775929112817132287,778203736456486539798,58062968861945557146858,597301786005592464122515
771301934901629111,773625627340695024262,57289188447564577869891,598301786005592464122515
766575759056309085,768949081992707930099,56520085514214928621679,599301786005592464122515
761749531844324569,764173005241428487897,55755759613214148107274,600301786005592464122515
756822290077211189,759296388043712656591,54996311305124808457355,601301786005592464122515
751793169265894103,754318315806143651654,54241842065285890467236,602301786005592464122515
746661412304982562,749237976955259973002,53492454180772216076473,603301786005592464122515
741426378355606483,744054671724165251343,52748250638565512976941,604301786005592464122515
736087551886504320,738767821118022019508,52009335004758191633300,605301786005592464122515
730644551827334230,733376976015285994823,51275811294654067045841,606301786005592464122515
725097140782312660,727881826355729267656,50547783833679218984815,607301786005592464122515
719445234246360771,722282210360398294481,49825357109071049502200,608301786005592464122515
713688909760045503,716578123722736213508,49108635612374379167801,609301786005592464122515
707828415933837709,710769728704261262764,48397723672840045023632,610301786005592464122515
701864181266684137,704857363062538320090,47692725281893740689473,611301786005592464122515
695796822678724218,698841548733824256323,46993743908920473891282,612301786005592464122515
689627153673306284,692723000187835334700,46300882308692584968080,613301786005592464122515
683356192039408461,686502632367710097446,45614242320856213864212,614301786005592464122515
676985167002289240,680181568124564066636,44933924661981724914810,615301786005592464122514
670515525727825993,673761145053196701594,44260028710777056985385,616301786005592464122514
663948939084689205,667242921633660285520,43592652287158275919496,617301786005592464122514
657287306568383650,660628682582675274883,42931891425967640925671,618301786005592464122514
650532760292392551,653920443319410131645,42277840146224997618730,619301786005592464122514
643687667954300668,647120453452056732242,41630590216891898058011,620301786005592464122514
636754634688941120,640231199195029275591,40990230920218038244350,621301786005592464122514
629736503726378719,633255404631577699835,40356848813824829576588,622301786005592464122514
622636355779950964,626196031743192002433,39730527492759560104767,623301786005592464122514
615457507098644596,619056279135406565535,39111347352824006399063,624301786005592464122514
608203506128762035,611839579399483551049,38499385356541889898124,625301786005592464122514
600878128742059254,604549595060913094685,37894714803178643687574,626301786005592464122514
593485372001204294,597190213078625869084,37297405104263067313115,627301786005592464122514
586029446448360197,589765537873138722976,36707521566082230883312,628301786005592464122514
578514766918742673,582279882877372211282,36125125180627252154981,629301786005592464122514
570945941897905941,574737760620374477563,35550272426457333784966,630301786005592464122514
563327761458998473,567143871371405451010,34983015080921988476923,631301786005592464122514
555665183834001244,559503090389491143345,34423400045136260940793,632301786005592464122514
547963320690687408,551820453841334507705,33871469183040856538229,633301786005592464122513
540227421204380311,544101143468030749594,33327259175798622501171,634301786005592464122513
532462855030185406,536350470098032927375,32790801392681362276292,635301786005592464122513
524675094296881793,528573856119897231284,32262121779487411444122,636301786005592464122513
516869694757744539,520776817043162946020,31741240765402022975304,637301786005592464122513
509052276245915911,512964942288963920719,31228173189070984431952,638301786005592464122513
501228502592271394,505143875363328341899,30722928244504902322878,639301786005592464122513
